Codice;Prezzo;Unità
100000;4.70;1
100001;4.70;1
100002;4.70;1
100003;4.73;1
100004;6.96;1
100005;4.78;1
100006;4.75;1
100007;4.78;1
100008;4.80;1
100009;7.00;1
100010;8.38;1
100011;8.36;1
100012;8.33;1
100013;8.44;1
100014;9.89;1
100015;8.43;1
100016;8.43;1
100017;8.45;1
100018;8.50;1
100019;9.94;1
100020;14.96;1
100021;16.34;1
100022;16.32;1
100023;16.39;1
100024;17.98;1
100025;16.55;1
100026;16.46;1
100027;16.49;1
100028;16.56;1
100029;16.75;1
100040;5.61;1
100151;3.38;1
100529;14.82;1
100544;17.38;1
100545;13.00;1
100547;15.86;1
100548;14.38;1
100549;17.05;1
100551;12.16;1
100555;13.00;1
100556;13.00;1
100557;15.86;1
100558;14.38;1
100559;17.05;1
100561;12.16;1
100567;15.86;1
10057;25.07;1
100577;17.38;1
100579;16.25;1
100581;16.25;1
10070;77.52;100
101016;2.39;1
101030;3.99;1
101042;2.02;1
101085;13.00;1
101133;12.53;1
101134;12.53;1
101135;11.77;1
101136;11.77;1
101144;46.59;1
101148;46.79;1
101165;46.59;1
101169;38.99;1
101173;13.00;1
101175;14.38;1
101182;14.38;1
101183;14.38;1
101184;14.82;1
10123;5.75;1
101245;3.31;1
101247;3.89;1
101248;3.12;1
101250;2.58;1
101251;1.69;1
101252;2.76;1
101257;13.27;1
101258;13.27;1
101259;12.48;1
101260;12.48;1
101263;84.21;1
101265;68.78;1
101266;63.17;1
101294;0.93;1
101295;0.93;1
101305;8.58;1
101306;53.38;1
101311;14.28;1
101312;17.69;1
101313;14.28;1
101314;17.69;1
101316;3.20;1
101317;24.03;1
101318;24.03;1
101319;16.59;1
101321;4.95;1
101333;15.74;1
101339;5.82;100
101340;25.87;1
101359;5.09;1
101360;5.11;1
101361;5.09;1
101362;5.13;1
101363;7.55;1
101364;5.18;1
101365;5.16;1
101367;5.21;1
101368;7.60;1
101379;16.23;1
101380;17.74;1
101382;17.79;1
101383;19.51;1
101384;17.96;1
101385;17.86;1
101387;17.97;1
101388;18.17;1
101436;0.90;1
101438;4.69;1
101442;5.41;1
101448;9.33;1
101449;4.73;1
101450;4.80;1
101451;8.37;1
101452;8.46;1
101453;14.99;1
101454;15.17;1
101467;93.07;1
101468;2.13;1
101469;9.01;100
101470;10.47;100
101471;6.30;1
101477;3.12;1
101483;5.46;1
101486;8.21;1
101487;9.32;1
101488;10.14;1
101489;5.68;1
101490;6.28;1
101507;5.95;1
101510;7.99;1
101511;4.13;1
101512;4.13;1
101513;1.78;1
101514;1.78;1
101515;0.93;1
101516;0.93;1
101517;2.87;1
101518;4.06;1
101519;3.41;1
101530;6.79;1
101532;0.98;1
101539;4.55;1
101548;1.58;1
101549;37.30;100
101550;15.43;1
101551;15.43;1
101553;3.12;1
101554;6.50;1
101555;3.12;1
101556;3.12;1
101557;3.12;1
101558;3.12;1
101559;3.12;1
101560;3.12;1
101561;0.68;1
101562;3.30;1
101563;3.21;1
101571;6.46;1
101572;4.73;1
101579;3.23;1
101587;3.23;1
101588;3.86;1
101589;5.36;1
101590;3.23;1
101591;3.86;1
101592;5.36;1
101596;3.86;1
101597;4.46;1
101598;5.88;1
101599;5.32;1
101600;5.37;1
101601;5.71;1
101610;1.53;1
101652;6.79;1
101653;124.07;1
101655;13.13;100
101656;5.63;1
101662;97.27;1
101665;258.19;1
101680;8.31;1
101681;9.65;1
101682;9.86;1
101684;1.38;1
101685;1.78;1
101686;1.78;1
101687;3.42;1
101688;1.38;1
101689;0.68;1
101691;0.68;1
101714;3.11;1
101752;16.75;1
101753;14.28;1
101754;17.69;1
101755;14.28;1
101756;17.69;1
101757;16.59;1
101763;1.38;1
101764;0.79;1
101765;9.49;1
101766;9.62;1
101767;12.30;1
101769;4.72;1
101795;19.07;1
101796;15.38;1
101797;16.29;1
101799;3.69;1
101828;24.03;1
101829;24.03;1
101835;43.20;1
101841;43.20;1
101843;43.95;1
101845;43.95;1
101851;43.20;1
101853;61.21;1
101856;13.25;1
101864;43.95;1
101879;2.40;1
101883;13.25;1
101909;6.45;1
101910;7.96;1
101911;0.79;1
101913;8.11;1
101914;8.52;1
101915;8.92;1
101916;9.30;1
101917;8.19;1
101918;8.60;1
101919;8.96;1
101920;9.33;1
101939;4.74;1
101987;7.27;1
101988;5.69;1
102053;8.88;1
102054;8.94;1
102055;9.00;1
102056;9.15;1
102057;8.88;1
102058;8.94;1
102059;9.00;1
102060;9.15;1
102061;9.60;1
102062;9.67;1
102063;9.74;1
102064;9.90;1
102065;9.60;1
102066;9.67;1
102067;9.74;1
102068;9.90;1
102069;9.27;1
102070;9.31;1
102071;9.42;1
102072;9.46;1
102073;9.27;1
102074;9.31;1
102075;9.42;1
102076;9.46;1
102133;4.01;1
102134;3.74;1
102135;2.87;1
102137;4.81;1
102138;3.63;1
102139;6.71;1
102140;7.18;1
102141;7.18;1
102142;2.64;1
102143;2.72;1
102144;3.14;1
102145;3.23;1
102146;3.32;1
102147;3.30;1
102148;3.50;1
102149;3.43;1
102151;4.48;1
102152;4.79;1
102155;18.65;1
102158;4.90;1
102159;6.39;1
102160;5.19;1
102161;1.78;1
102163;73.69;100
102165;2.01;1
102166;6.34;1
102171;44.87;1
102172;44.87;1
102173;7.07;1
102181;15.83;1
102182;16.31;1
102183;17.30;1
102184;18.12;1
102185;9.25;1
102186;9.31;1
102187;9.36;1
102188;9.53;1
102189;9.25;1
102190;9.31;1
102191;9.36;1
102192;9.53;1
102206;46.96;1
102207;46.96;1
102219;4.36;1
102233;3.30;1
102234;3.30;1
102237;10.67;1
102238;10.67;1
102239;10.67;1
102240;10.67;1
102241;10.67;1
102248;12.70;1
102249;15.54;1
102251;4.64;1
102252;5.37;1
102253;4.91;1
102254;7.25;1
102255;4.95;1
102256;7.29;1
102257;17.04;1
102258;18.75;1
102259;17.15;1
102260;17.46;1
102261;12.13;1
102262;12.13;1
102263;3.86;1
102264;5.36;1
102268;31.75;1
102270;1.78;1
102271;1.78;1
102280;6.38;1
102293;15.58;1
102301;14.97;1
102302;14.97;1
102315;4.58;1
102316;4.58;1
102317;5.03;1
102332;4.07;1
102333;13.75;1
102337;9.61;1
102338;10.02;1
102339;10.45;1
102340;10.74;1
102342;4.90;1
10235;3.72;1
102352;6.62;1
102368;6.86;1
102372;6.07;1
102374;5.13;1
102376;3.97;1
102377;2.14;1
102395;9.88;1
102405;8.70;1
102406;8.70;1
102427;10.84;1
102431;4.97;1
102445;17.26;1
102446;4.98;1
102447;5.10;1
102448;2.31;1
102449;2.52;1
102469;5.50;1
102470;12.47;1
102471;12.47;1
102473;5.65;1
102475;4.42;1
102476;5.59;1
102477;4.77;1
102480;5.00;1
102481;5.27;1
102483;5.17;1
102490;4.62;1
102491;4.00;1
102501;3.64;1
102509;4.90;1
102510;4.93;1
102512;5.00;1
102520;15.59;1
102522;17.09;1
102524;17.27;1
102525;12.89;1
102526;12.89;1
102527;3.23;1
102545;3.09;1
102550;54.61;100
102551;58.84;100
102558;7.41;1
102574;10.11;1
102636;4.93;1
102645;13.15;1
102669;5.33;1
102686;9.70;1
102687;9.70;1
102688;7.74;1
102689;7.74;1
102690;9.74;1
102691;9.74;1
102692;11.63;1
102693;11.63;1
102730;34.53;1
102731;6.31;1
102740;27.13;1
102741;27.13;1
102842;33.79;1
102843;33.79;1
102846;34.90;1
102847;34.90;1
102851;33.79;1
102852;11.32;1
102859;14.46;1
102867;4.74;1
102872;4.55;1
102879;5.03;1
102880;3.27;1
102885;13.54;1
102886;4.35;1
102888;10.42;1
102889;14.41;1
102890;15.43;1
102944;4.83;1
102945;10.43;1
102946;9.57;1
102947;11.23;1
102948;1.64;1
102949;3.01;1
102950;4.83;1
102951;4.83;1
102952;80.19;1
102953;85.56;1
102956;89.35;1
102998;6.69;1
103001;15.62;1
103002;10.39;1
103045;94.74;1
103060;85.55;100
103063;57.47;1
103064;57.47;1
103065;70.41;1
103066;70.41;1
103067;172.34;1
103068;172.34;1
103069;201.87;1
103070;201.87;1
103071;110.63;1
103073;50.62;1
103074;50.62;1
103075;51.80;1
103076;51.80;1
103077;51.80;1
103080;5.60;1
103098;37.28;1
103099;6.98;1
103111;24.17;100
103140;11.90;1
103141;9.41;1
103143;6.25;1
103157;29.28;1
103169;7.31;1
103170;11.86;1
103171;17.56;1
103172;16.96;1
103178;15.63;1
103179;9.79;1
103180;4.83;1
103181;19.20;1
103201;10.18;1
103202;12.09;1
103239;18.10;1
103261;6.17;1
103288;11.44;1
103289;11.44;1
103290;4.77;1
103302;19.21;1
103303;13.35;1
103318;12.71;1
103319;14.05;1
103320;2.44;1
103321;91.67;1
103339;15.34;1
103340;18.52;1
103342;9.95;1
103345;17.96;1
103354;8.75;1
103355;8.75;1
103356;8.67;1
103357;8.67;1
103358;9.76;1
103359;9.76;1
103364;10.97;1
103365;10.97;1
103368;9.02;1
103369;9.02;1
103370;8.93;1
103371;8.93;1
103394;3.27;1
103395;3.27;1
103413;6.74;1
103421;5.33;1
103424;18.20;1
103559;65.45;1
103560;65.45;1
103566;37.16;1
103567;37.28;1
