codice;descrizione;um;prezzo_listino;pz_conf;min_vend;prezzo_unitario;stato;note;pagina
606022C;CF VITI M 5X10 UNI EN ISO 7046/1/2 INOX;CF;21.75;100.0;1.0;0.218;Attivo - gestito;;2
619005C;CF ROND. PER M8 UNI EN ISO 7089 INOX;CF;11.91;100.0;1.0;0.119;Attivo - gestito;;2
620010C;CF AUTOF. TC 3.5X13 UNI EN ISO 7049 INOX;CF;11.81;100.0;1.0;0.118;Attivo - gestito;;2
620015C;CF AUTOF.TC 3.9X9.5 UNI EN ISO 7049 INOX;CF;6.79;100.0;1.0;0.068;Attivo - gestito;;2
620022C;CF AUTOF.TC 4.2X9.5 UNI EN ISO 7049 INOX;CF;25.49;100.0;1.0;0.255;Attivo - gestito;;2
620023C;CF AUTOF. TC 4.2X13 UNI EN ISO 7049 INOX;CF;16.22;100.0;1.0;0.162;Attivo - gestito;;2
620024C;CF AUTOF. TC 4.2X16 UNI EN ISO 7049 INOX;CF;7.78;100.0;1.0;0.078;Attivo - gestito;;2
620026C;CF AUTOF. TC 4.2X22 UNI EN ISO 7049 INOX;CF;17.55;100.0;1.0;0.176;Attivo - gestito;;2
620028C;CF AUTOF. TC 4.2X32 UNI EN ISO 7049 INOX;CF;18.99;100.0;1.0;0.19;Attivo - gestito;;2
620035C;CF AUTOF. TC 4.8X16 UNI EN ISO 7049 INOX;CF;15.33;100.0;1.0;0.153;Attivo - gestito;;2
620039C;CF AUTOF. TC 4.8X32 UNI EN ISO 7049 INOX;CF;15.54;100.0;1.0;0.155;Attivo - gestito;;2
621017C;CF.AUTOF.TSP 3.9X16 UNI EN ISO 7050 INOX;CF;19.98;100.0;1.0;0.2;Attivo - gestito;;2
621020C;CF AUTOF.TSP 3.9X25 UNI EN ISO 7050 INOX;CF;28.14;100.0;1.0;0.281;Attivo - gestito;;2
621024C;CF AUTOF.TSP 4.2X16 UNI EN ISO 7050 INOX;CF;17.0;100.0;1.0;0.17;Attivo - gestito;;2
621027C;CF AUTOF.TSP 4.2X25 UNI EN ISO 7050 INOX;CF;19.32;100.0;1.0;0.193;Attivo - gestito;;2
621037C;CF AUTOF.TSP 4.8X32 UNI EN ISO 7050 INOX;CF;17.66;100.0;1.0;0.177;Attivo - gestito;;2
621039C;CF AUTOF.TSP 4.8X25 UNI EN ISO 7050 INOX;CF;17.0;100.0;1.0;0.17;Attivo - gestito;;2
621049C;CF AUTOF.TSP 5.5X25 UNI EN ISO 7050 INOX;CF;24.75;100.0;1.0;0.248;Attivo - gestito;;2
699100C;CF AUTOF. 4.8X19 TESTA 1/2 TONDA TC ZINC;CF;19.32;100.0;1.0;0.193;Attivo - gestito;;2
699138C;CF AUTOF. TCEI 4.8X19 INOX;CF;60.03;100.0;1.0;0.6;Attivo - gestito;;2
699152C;CF AUTOF. TPS TORX TX25 5.5X45 INOX A2;CF;39.39;100.0;1.0;0.394;Attivo - gestito;;2
699157C;CF AUTOF.4.8X13 T.1/2 TONDA TC;CF;12.14;100.0;1.0;0.121;Attivo - gestito;;2
699203C;CF AUTOF 4.8X16 TESTA 1/2 TONDA TC;CF;13.91;100.0;1.0;0.139;Attivo - gestito;;2
699204C;CF AUTOF 4.8X50 TESTA 1/2 TONDA TC;CF;32.66;100.0;1.0;0.327;Attivo - gestito;;2
