codice;descrizione;um;prezzo_listino;pz_conf;min_vend;prezzo_unitario;stato;note;pagina;cf_imballo;pz_imballo
700151;SQUADR. ALLIN. DA 18.5 AG;CF;5.36;10.0;;0.536;Attivo - gestito;;2;50.0;500.0
712005;MASCHERINA SCARICO ACQUA NERA;CF;8.01;50.0;;0.16;Attivo - gestito;;2;20.0;1000.0
712006;MASCHERINA SCARICO ACQUA BIANCA;CF;8.78;50.0;;0.176;Attivo - gestito;;2;20.0;1000.0
712007;MASC. SCARICO ACQUA CON VALVOLA NERA;CF;31.9;20.0;;1.595;Attivo - gestito;;2;10.0;200.0
712008;MASC. SCARICO ACQUA CON VALVOLA BIANCA;CF;32.25;20.0;;1.613;Attivo - gestito;;2;10.0;200.0
712010;CP TAPPI LATERALI GOCCIOLATOIO;CF;13.91;20.0;;0.696;Attivo - gestito;;2;100.0;2000.0
809119;GUARN. INT. VETRO 2÷3MM;ML;0.56;280.0;;0.559;Attivo - gestito;;2;3.0;840.0
809120;GUARN. INT. VETRO MICROTAGLIATA 3÷4MM;ML;0.6;200.0;;0.601;Attivo - gestito;;2;3.0;600.0
809121;GUARN. INT. VETRO MICROTAGLIATA 4.5÷6MM;ML;0.8;120.0;;0.797;Attivo - gestito;;2;5.0;600.0
809122;GUARN. INT. VETRO MICROTAGLIATA 6.5÷8MM;ML;1.34;100.0;;1.335;Attivo - gestito;;2;5.0;500.0
809620;GUARN.EPDM ESPANSO ADESIVO 10X2 SG50;ML;0.26;20.0;;0.259;Attivo - gestito;;2;20.0;400.0
V03009;GUARNIZIONE DI BATTUTA;ML;0.59;100.0;;0.59;Attivo - gestito;;2;6.0;600.0
V03011;GUARNIZ. RIPORTO 2 ANTE;ML;0.45;100.0;;0.445;Attivo - gestito;;2;3.0;300.0
V03026;GUARN. BATTUTA SOGLIA RIDOTTA;ML;1.49;80.0;;1.491;Attivo - gestito;;2;3.0;240.0
V03027;GUARNIZIONE BATTUTA DUE ANTE;ML;0.7;120.0;;0.704;Attivo - gestito;;2;3.0;360.0
V09049;C75S C82SCS-ELEM.ISOL.SOTTO VETRO 39X6;ML;0.56;20.0;;0.559;Attivo - gestito;;2;20.0;400.0
V40014;SQUADR. A CIANF.INT.BATT.;CF;265.88;100.0;;2.659;Attivo - gestito;;2;3.0;300.0
V40022;SQUADR. CIANF.PER TUBOLARE 4.9x10.4;CF;60.69;100.0;;0.607;Attivo - gestito;;2;3.0;300.0
V43013;SQUADRETTA INTERNA STIPITE(TUBOLARE 9.6);CF;34.43;20.0;;1.722;Attivo - gestito;;2;25.0;500.0
V43017;SQUADR. CIANF. STIP. TUB. 13.8X18;CF;176.76;100.0;;1.768;Attivo - gestito;;2;3.0;300.0
V43018;SQUADR. CIANF. STIP. TUB. 13.8X11.6;CF;170.43;100.0;;1.704;Attivo - gestito;;2;3.0;300.0
V46004;SQUADR. DI ALLIN. STIPITE;CF;21.53;20.0;;1.077;Attivo - gestito;;2;10.0;200.0
V46004P;CF SQUADRETTA DI ALLINEAMETO STIPITE;CF;209.11;250.0;;0.836;Attivo - gestito;;2;1.0;250.0
V46005;SQUADR. DI ALLI. BATTENTE;CF;66.77;200.0;;0.334;Attivo - gestito;;2;10.0;2000.0
V46028;SQUADR. ALLINEAMENTO ACCIAO INOX;CF;60.32;50.0;;1.206;Attivo - gestito;;2;20.0;1000.0
V51007P;CF VALVOLA DI DRENAGGIO;CF;42.85;50.0;;0.857;Attivo - gestito;;2;20.0;1000.0
V51015;MASCHERINA DRENAG. SOGLIA RIBASSATA 67CL;CF;23.62;20.0;;1.181;Attivo - gestito;;2;10.0;200.0
V52014;TAPPI T/Z INTERNI 2 ANTE;CF;30.33;20.0;;1.517;Attivo - gestito;;2;3.0;60.0
V52015;TAPPI T/Z ESTERNI 2 ANTE;CF;32.03;20.0;;1.602;Attivo - gestito;;2;2.0;40.0
V52055-B;TAPPI ESTER.PER NODO CENTR.DUE ANTE NERI;CF;9.39;20.0;;0.469;Attivo - gestito;;2;40.0;800.0
V52071-B;C82S-CS TAPPO EST.SX INF. PORTA BALCONE;CF;9.27;1.0;;9.274;Attivo - gestito;;2;15.0;15.0
V52072-B;C82S-CS TAPPO EST.DX INF. PORTA BALCONE;CF;9.27;1.0;;9.274;Attivo - gestito;;2;15.0;15.0
V52083-B;C75S KIT TAPPI PER PROFILO STULP;CF;31.45;20.0;;1.573;Attivo - gestito;;2;5.0;100.0
V62008;SUPPORTO VETRO;CF;61.25;50.0;;1.225;Attivo - gestito;;2;5.0;250.0
V70130;VITE AUTOF. D.6MM PER SQUADRETTA;CF;31.34;100.0;;0.313;Attivo - gestito;;2;10.0;1000.0
V72074;SPINA SAGOMATA D.6MM PER SQUADRETTA;CF;29.9;100.0;;0.299;Attivo - gestito;;2;10.0;1000.0
