codice;descrizione;classe;sigla;aggregazione;aggregazione_bicolore;codici_collegati;sezione
219010;ALUK 9010 BIANCO SEMILUCIDO;1;9010SL;;;629010;Elenco colori a cartella senza addebito minimo
250009;ALUK 1013 AVORIO LUCIDO;1;1013LC;FB;90;;Elenco colori a cartella senza addebito minimo
259010;ALUK 9010 BIANCO LUCIDO;1;9010LC;FB;90;;Elenco colori a cartella senza addebito minimo
500001;ALUK 9016 OPACO;1;9016OP;;;529016 / 5R0001;Elenco colori a cartella senza addebito minimo
500010;7016 OPACO;1;7016OP;;;527016 / 5R0010;Elenco colori a cartella senza addebito minimo
500023;9010 OPACO;1;9010OP;;;529010 / 5R0023;Elenco colori a cartella senza addebito minimo
500038;9005 OPACO;1;9005OP;;;529005 / 5R0038;Elenco colori a cartella senza addebito minimo
500058;ALUK 7037 OPACO;1;7037OP;;;527037 / 5R0058;Elenco colori a cartella senza addebito minimo
700005;7016 RAGG;1;7016RG;;;727016 / 7R0005;Elenco colori a cartella senza addebito minimo
207016;ALUK 7016 GRIGIO LUCIDO;1;7016LC;;;227016 / 2R7016;Elenco colori a cartella senza addebito minimo
209006;ALUK 9006 GRIGIO METALLIZZATO;1;9006MT;;;229006 / 2RR906;Elenco colori a cartella senza addebito minimo
209007;ALUK 9007 GRIGIO METALLIZZATO;1;9007MT;;;229007 / 2R9007;Elenco colori a cartella senza addebito minimo
300020;ALUK PUNTO 20 GRIGIO;1;PUNTO 20;;;320020 / 3R0020;Elenco colori a cartella senza addebito minimo
500002;ALUK 8019 OPACO;1;8019OP;;;528019 / 5RR002;Elenco colori a cartella senza addebito minimo
500004;ALUK 8017 OPACO;1;8017OP;;;528017 / 5RR004;Elenco colori a cartella senza addebito minimo
500006;ALUK 1013 OPACO;1;1013OP;;;521013 / 5RR006;Elenco colori a cartella senza addebito minimo
500007;ALUK 6005 OPACO;1;6005OP;;;526005 / 5RR007;Elenco colori a cartella senza addebito minimo
