articolo;serie;aggregazione;descrizione;eur_kg;pagina
33390;333;90;PROFILI ALL.TT C82S-CS C75S BICOLORE;21.13;2
10800;108;00;PROFILI ALL.N C75S C82S-CS GREZZO;13.07;2
10801;108;01;PROFILI ALL.N C75S C82S-CS A1K;15.04;2
10802;108;02;PROFILI ALL.N C75S C82S-CS B15K;15.75;2
10804;108;04;PROFILI ALL.N C75S C82S-CS E28K/E22K;15.75;2
10808;108;08;PROFILI ALL.N C75S C82S-CS E24K;15.75;2
10811;108;11;PROFILI ALL.N C75S C82S-CS E30K;15.92;2
10815;108;15;PROFILI ALL.N C75S C82S-CS T1K/LUCIDI;19.73;2
10816;108;16;PROFILI ALL.N C75S C82S-CS T1K SPAZZ.CHI;17.01;2
10820;108;20;PROF.ALL.N C75S C82S-CS CAT.B + ADD;14.82;2
10823;108;23;PROF.ALL.N C75S C82S-CS CAT.C + ADD;14.94;2
10825;108;25;PROF.ALL.N C75S C82S-CS CAT.D + ADD;15.04;2
10830;108;30;PROF.ALL.N C75S C82S-CS CAT.E + ADD;15.37;2
10855;108;55;PROFILI ALL.N C75S C82S-CS LUC.REPASAD;19.73;2
10856;108;56;PROFILI ALL.N C75S C82S-CS SAT.DRITTO/I;26.29;2
1085K;108;5K;PROFILI ALL.N C75S C82S-CS SUBLIMATO;19.29;2
10860;108;60;PROFILI ALL.N C75S C82S-CS VERN. F.C.1;15.26;2
10865;108;65;PROFILI ALL.N C75S C82S-CS VERN. F.C.2;15.37;2
10870;108;70;PROFILI ALL.N C75S C82S-CS VERN. F.C.3;15.48;2
1087K;108;7K;PROF.ALL.N C75S C82S-CS SUBLIMATO F.C.;19.8;3
108FA;108;FA;PROF.ALL.N C75S C82S-CS CAT.A NO ADD;14.72;3
108FB;108;FB;PROF.ALL.N C75S C82S-CS CAT.B NO ADD;14.82;3
108FC;108;FC;PROF.ALL.N C75S C82S-CS CAT.C NO ADD;14.94;3
108FD;108;FD;PROF.ALL.N C75S C82S-CS CAT.D NO ADD;15.04;3
108FE;108;FE;PROF.ALL.N C75S C82S-CS CAT.E NO ADD;15.37;3
18200;182;00;PROF.ALL.N C75S C82S-CS GUAR. GREZZO;18.18;3
18201;182;01;PROF.ALL.N C75S C82S-CS GUAR. A1K;20.15;3
18202;182;02;PROF.ALL.N C75S C82S-CS GUAR. B15K;20.86;3
18204;182;04;PROF.ALL.N C75S C82S-CS GUAR. E28K/E22K;20.86;3
18208;182;08;PROF.ALL.N C75S C82S-CS GUAR. E24K;20.86;3
18211;182;11;PROF.ALL.N C75S C82S-CS GUAR. E30K;21.03;3
18215;182;15;PROF.ALL.N C75S C82S-CS GUAR. T1K/LUCIDI;24.84;3
18216;182;16;PROF.ALL.N C75S C82S-CS GUAR. T1K SPAZZ.;22.12;3
18220;182;20;PROF.ALL.N C75S C82S-CS GUAR. CAT.B + ADD;19.93;3
18223;182;23;PROF.ALL.N C75S C82S-CS GUAR. CAT.C + ADD;20.05;3
18225;182;25;PROF.ALL.N C75S C82S-CS GUAR. CAT.D + ADD;20.15;3
18230;182;30;PROF.ALL.N C75S C82S-CS GUAR. CAT.E + ADD;20.48;3
18255;182;55;PROF.ALL.N C75S C82S-CS GUAR. LUC.REPASA;24.84;3
18256;182;56;PROF.ALL.N C75S C82S-CS GUAR. SAT.DRITTO;31.4;3
1825K;182;5K;PROF.ALL.N C75S C82S-CS GUAR. SUBLIMATO;24.4;3
18260;182;60;PROF.ALL.N C75S C82S-CS GUAR. VERN. F.C.1;20.37;3
18265;182;65;PROF.ALL.N C75S C82S-CS GUAR. VERN. F.C.2;20.48;3
18270;182;70;PROF.ALL.N C75S C82S-CS GUAR. VERN. F.C.3;20.59;3
1827K;182;7K;PROF.ALL.N C75S C82S-CS GUAR. SUBLIMATO;24.91;3
182FA;182;FA;PROF.ALL.N C75S C82S-CS GUAR. CAT.A NO ADD;19.83;3
182FB;182;FB;PROF.ALL.N C75S C82S-CS GUAR. CAT.B NO ADD;19.93;3
182FC;182;FC;PROF.ALL.N C75S C82S-CS GUAR. CAT.C NO ADD;20.05;3
182FD;182;FD;PROF.ALL.N C75S C82S-CS GUAR. CAT.D NO ADD;20.15;3
182FE;182;FE;PROF.ALL.N C75S C82S-CS GUAR. CAT.E NO ADD;20.48;3
33300;333;00;PROFILI ALL.TT C82S-CS C75S GREZZO;18.18;3
33301;333;01;PROFILI ALL.TT C82S-CS C75S A1K;20.15;3
33302;333;02;PROFILI ALL.TT C82S-CS C75S B15K;20.86;3
33304;333;04;PROFILI ALL.TT C82S-CS C75S E28K/E22K;20.86;3
33308;333;08;PROFILI ALL.TT C82S-CS C75S E24K;20.86;3
33311;333;11;PROFILI ALL.TT C82S-CS C75S E30K;21.03;3
33315;333;15;PROFILI ALL.TT C82S-CS C75S T1K/LUCIDI;24.84;3
33316;333;16;PROFILI ALL.TT C82S-CS C75S T1K SPAZZ.CH;22.12;3
33320;333;20;PROFILI ALL.TT C82S-CS C75S CAT. B CON ADD.;19.93;3
33323;333;23;PROFILI ALL.TT C82S-CS C75S CAT. C CON ADD.;20.05;3
